participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,sus_score,fecha_sesion,duracion_min,dispositivo
P01,4,2,4,3,1,2,4,2,4,1,67.5,2026-09-19,67,Laptop
P02,4,2,4,2,3,2,3,2,4,2,70.0,2026-09-20,15,Laptop
P03,4,2,4,3,4,2,4,2,4,2,72.5,2026-09-19,13,Escritorio
P04,4,2,4,2,3,3,4,2,4,3,67.5,2026-09-19,15,Escritorio
P05,4,2,3,2,4,3,3,3,2,3,57.5,2026-09-20,12,Escritorio
P06,4,2,4,2,4,2,4,2,4,2,75.0,2026-09-19,15,Escritorio
P07,3,2,4,2,4,2,4,1,5,2,77.5,2026-09-20,15,Laptop
P08,4,2,4,3,3,4,4,2,4,3,62.5,2026-09-19,17,Escritorio
P09,3,2,3,2,3,2,3,2,3,2,62.5,2026-09-20,10,Laptop
P10,4,2,4,2,3,3,4,2,4,3,67.5,2026-09-20,14,Laptop
P11,2,3,4,3,2,4,2,2,2,2,45.0,2026-09-20,15,Laptop
P12,4,2,4,2,4,2,4,1,5,1,82.5,2026-09-20,18,Laptop
P13,4,1,3,2,4,2,5,1,5,1,85.0,2026-09-20,17,Laptop
P14,3,2,3,2,4,2,4,2,4,2,70.0,2026-09-20,13,Laptop
P15,4,2,3,2,4,2,4,1,4,3,72.5,2026-09-20,15,Laptop
